zip_zipcode	zip_street	area	Latitude	Longitude		
12230002	Rodovia Presidente Dutra	Jardim Satélite	-23,2552	-45,9431	-23,2552	-45,9431
12230010	Avenida Cassiopéia	Jardim Satélite	-23,2293	-45,8857	-23,2293	-45,8857
12230011	Avenida Cassiopéia	Jardim Satélite	-23,2293	-45,8857	-23,2293	-45,8857
12230020	Rua Tijuca	Jardim Satélite	-23,2267	-45,8813	-23,2267	-45,8813
12230021	Rua Leblon	Jardim Satélite	-23,2238	-45,8827	-23,2238	-45,8827
12230030	Rua Copacabana	Jardim Satélite	-23,2276	-45,8811	-23,2276	-45,8811
12230040	Rua Arpoador	Jardim Satélite	-23,2259	-45,8819	-23,2259	-45,8819
12230050	Rua Reverendo Américo de Castro	Jardim Satélite	-23,2239	-45,8838	-23,2239	-45,8838
12230060	Rua Porto Novo	Jardim Satélite	-23,2234	-45,8848	-23,2234	-45,8848
12230070	Rua Ipanema	Jardim Satélite	-23,226	-45,8822	-23,226	-45,8822
12230075	Rua Pedro Tursi	Jardim Satélite	-23,2224	-45,8857	-23,2224	-45,8857
12230080	Rua Patrício Santana	Jardim Satélite	-23,2224	-45,8844	-23,2224	-45,8844
12230100	Rua Maricá	Jardim Satélite	-23,2262	-45,8828	-23,2262	-45,8828
12230110	Rua Barra Velha	Jardim Satélite	-23,2264	-45,8834	-23,2264	-45,8834
12230111	Rua Lagoinha	Jardim Satélite	-23,2275	-45,8833	-23,2275	-45,8833
12230120	Rua das Cigarras	Jardim Satélite	-23,2256	-45,8841	-23,2256	-45,8841
12230130	Rua Bambui	Jardim Satélite	-23,2266	-45,8839	-23,2266	-45,8839
12230140	Rua Cisne	Jardim Satélite	-23,2218	-45,8907	-23,2218	-45,8907
12230150	Rua Sapoti	Jardim Satélite	-23,222	-45,8909	-23,222	-45,8909
12230160	Rua Regulus	Jardim Satélite	-23,221	-45,8928	-23,221	-45,8928
12230170	Rua Tucuma	Jardim Satélite	-23,2307	-45,8988	-23,2307	-45,8988
12230180	Rua Gemini	Jardim Satélite	-23,222	-45,8913	-23,222	-45,8913
12230190	Rua Procion	Jardim Satélite	-23,2213	-45,8907	-23,2213	-45,8907
12230200	Rua Arturus	Jardim Satélite	-23,2219	-45,8923	-23,2219	-45,8923
12230210	Rua Aires	Jardim Satélite	-23,222	-45,8917	-23,222	-45,8917
12230220	Rua Libra	Jardim Satélite	-23,2217	-45,8928	-23,2217	-45,8928
12230230	Rua Altair	Jardim Satélite	-23,2206	-45,8933	-23,2206	-45,8933
12230240	Rua Polar	Jardim Satélite	-23,2191	-45,8925	-23,2191	-45,8925
12230250	Rua Antares	Jardim Satélite	-23,2198	-45,895	-23,2198	-45,895
12230260	Rua Pegaso	Jardim Satélite	-23,2212	-45,8949	-23,2212	-45,8949
12230270	Rua Carangola	Jardim Satélite	-23,2203	-45,8967	-23,2203	-45,8967
12230280	Rua Sirius	Jardim Satélite	-23,2213	-45,8956	-23,2213	-45,8956
12230290	Rua Andaraí	Jardim Satélite	-23,2193	-45,8968	-23,2193	-45,8968
12230300	Avenida Doutor Sebastião Henrique da Cunha Pontes	Jardim Satélite	-23,2252	-45,9052	-23,2252	-45,9052
12230310	Rua Pleiades	Jardim Satélite	-23,2217	-45,8961	-23,2217	-45,8961
12230320	Rua Castor	Jardim Satélite	-23,2223	-45,893	-23,2223	-45,893
12230330	Rua Auriflama	Jardim Satélite	-23,228	-45,8898	-23,228	-45,8898
12230340	Rua Gravataí	Jardim Satélite	-23,228	-45,8895	-23,228	-45,8895
12230341	Travessa Pirituba	Jardim Satélite	-23,2279	-45,8893	-23,2279	-45,8893
